Rank,Country,Overall Score,Affordability,Availability,Quality and Safety,Sustainability and Adaptation,Life Exp,Obesity Rate,Ingredient Quality,Health Index,GDP,Health Exp.,HDI,Obese adults in Mil,Undernourished,"Cost of a healthy diet (CoHD), PPP dollar per person per day"
79,Sri Lanka,55.2,61,57.2,55,45.3,76.61,5.2,,34.1,84356860421.13,609.00,0.78,1.70,0.90,4.77
80,Bangladesh,54,52.1,61.5,58.4,43.9,73.698,3.6,,35.5,437415331040.99,153.57,0.67,6.20,20.30,3.64
81,Laos,53.1,59.7,51.8,51.7,47,68.1,,,,15843155731.26,234.17,0.62,0.40,0.40,4.65
82,Kenya,53,41.7,52.5,68.8,52.6,62.055,7.1,,38.8,107440575838.05,236.98,0.60,3.70,18.70,3.54
83,Ghana,52.6,59.9,52.4,50.5,45.1,63.945,10.9,,34.3,76370394412.42,247.91,0.60,2.50,2.10,4.29
84,Pakistan,52.2,59.9,58.3,49.4,37.7,66.431,8.6,,30.4,338368455317.88,167.34,0.54,31.00,48.80,3.76
85,Mali,51.9,53.4,48.7,56.8,48.8,59.417,8.6,,29,20904898296.25,106.97,0.41,1.20,2.20,3.58
86,Senegal,51.2,57.9,47.8,53.9,43.5,67.1,,,,31013986429.19,167.08,0.52,0.90,0.80,3.38
87,Botswana,51.1,69,40.5,57.3,32.9,65.913,18.9,,33.6,19395765126.31,1096.00,0.71,0.30,0.60,3.56
88,Rwanda,50.6,48.4,51.8,50.3,52.7,67.129,5.8,,33.1,14097768647.67,180.12,0.55,0.40,4.30,3.80
89,Burkina Faso,49.6,49.5,49.8,52.8,46.4,,,,,20324617838.97,152.71,0.44,0.80,3.50,3.57
90,Tanzania,49.1,45.8,58.7,50.2,41.7,66.782,8.4,,31.3,79158286333.52,95.88,0.53,4.10, , 
91,Benin,48.1,50.5,53.6,48.1,38.9,,,,,19673284686.00,97.19,0.50,0.80,1.40,3.42
92,Malawi,48.1,33.6,52.9,52,58.2,62.9,,,,14084341062.37,118.92,0.51,0.80,4.10,3.43
93,Uganda,47.7,48.3,41,45.1,57,63.638,5.3,,36.5,49272882213.62,118.92,0.55,1.80,17.40,3.60
94,Mozambique,47.3,42.6,49.4,41.8,56.5,59.3,,,,20624597846.55,122.00,0.46,1.70,8.20,3.60
95,Côte d'Ivoire,46.5,54.2,42.1,44.1,43.2,,,,, , ,0.53,1.70,2.70,3.27
96,Cameroon,46.4,50.4,31.9,56.5,47,60.958,11.4,,28.6,47945510090.05,155.56,0.59,2.10,1.60,3.39
97,Niger,46.3,42.8,41.7,47,55.5,61.6,,,,16819170420.57,75.80,0.39,0.70,3.50,3.96
98,Togo,46.2,45.7,51,42.3,45.4,61.6,,,,9171261835.06,129.87,0.55,0.50,1.10,3.18
99,Guinea,45.1,37,49,39.8,56.9,,,,,23612295818.10,109.37,0.47,0.70,1.40,3.06
100,Ethiopia,44.5,32.9,44.7,59.3,44.9,65.645,4.5,,37.8,163697927593.98,81.74,0.49,1.90,27.30,3.72
101,Angola,43.7,35.5,43.5,43.9,54.6,61.929,8.2,,29.1,84722957642.38,198.55,0.59,2.00,8.30,4.41
102,Zambia,43.5,26.8,46.7,54.2,51,61.803,8.1,,26.5,28162630953.93,235.55,0.57,1.10,7.10,3.53
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
